Species,Region,Sample,reads_raw,reads_sum_len_raw,reads_qc,reads_sum_len_qc,reads_ipyrad,refseq_mapped_reads,refseq_unmapped_reads,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly
Aipysurus laevis,Gulf of Carpentaria,ALA-R37116-2892470,1416227,195439326,1210261,82146961,882170,585824,296346,41895,21801,0.001586,0.002417,21642,18392
Aipysurus laevis,Gulf of Carpentaria,ALA-R37122-2892464,1350112,186315456,1233655,95722070,1008921,659093,349828,21280,15757,0.001164,0.002583,15646,12917
Aipysurus laevis,Gulf of Carpentaria,ALA-R37128-2892424,1319541,182096658,1211467,99490672,1026432,653609,372823,39614,23464,0.001172,0.002934,23318,19485
Aipysurus laevis,Gulf of Carpentaria,ALA-R37140-2892462,1435242,198063396,1275845,99672745,1051398,652089,399309,51413,25928,0.001412,0.002721,25751,21855
Aipysurus laevis,Pilbara,ALA-SS170808-01-2562218,1439446,198643548,1255248,90378752,968062,675195,292867,83469,27778,0.001945,0.002707,27495,26204
Aipysurus laevis,Pilbara,ALA-SS170808-06-2892529,1522612,210120456,1348804,102844295,1077747,731147,346600,76890,27724,0.002234,0.002836,27463,25945
Aipysurus laevis,Pilbara,ALA-SS170809-01-2892375,1384732,191093016,1184063,92276653,957174,662928,294246,88019,28259,0.002022,0.002861,28020,26676
Aipysurus laevis,Pilbara,ALA-SS170809-03-2892475,1446223,199578774,1266587,103721151,1056722,695047,361675,97461,30816,0.001955,0.002429,30567,29154
Aipysurus laevis,Pilbara,ALA-SS170810-01-2892386,1390089,191832282,1258912,101180287,1035094,695265,339829,93469,29947,0.00206,0.002649,29694,28255
Aipysurus laevis,Pilbara,ALA-SS170813-01-2892422,1437326,198350988,1241987,101792117,1034682,651945,382737,92908,29108,0.002087,0.00248,28878,27551
Aipysurus laevis,Pilbara,ALA-SS170815-01-2892435,1348796,186133848,1223305,101011500,1031862,706793,325069,90070,29409,0.00218,0.002309,29165,27745
Aipysurus laevis,Pilbara,ALA-SS170815-03-2892473,1513456,208856928,1362610,113327631,1144579,722162,422417,102580,31851,0.002135,0.002449,31598,30078
Aipysurus laevis,Pilbara,ALA-SS170815-04-2892440,1444808,199383504,1276249,103681406,1067421,668900,398521,92007,29108,0.002151,0.002491,28860,27490
Aipysurus laevis,Pilbara,ALA-SS170816-01-2892493,1485738,205031844,1336415,107406369,1103274,694170,409104,93058,29135,0.002043,0.002642,28891,27410
Aipysurus laevis,Eighty Mile Beach,ALA-SS170820-05-2892447,1167675,161139150,1025532,83734516,850194,606106,244088,70999,26632,0.001805,0.002477,26429,24345
